Name,State,Saffir-Simpson,Date of closest approach,Year
Unnamed,Georgia,Category 1 hurricane,10-Oct,1852
,,,,
Unnamed,Georgia,Category 1 hurricane,21-Oct,1853
Unnamed,Georgia,Category 3 hurricane,8-Sep,1854
Unnamed,Georgia,Category 1 hurricane,31-Aug,1856
,,,,
Unnamed,Georgia,Category 1 hurricane,3-Oct,1877
,,,,
Unnamed,Georgia,Category 1 hurricane,11-Sep,1878
Unnamed,,Category 2 hurricane,28-Aug,1881
Unnamed,Georgia,Category 1 hurricane,25-Aug,1885
Unnamed,Georgia,Category 1 hurricane,21-Jun,1886
,,,,
Unnamed,Georgia,Category 1 hurricane,30-Jun,1886
,,,,
Unnamed,Georgia,Category 3 hurricane,28-Aug,1893
Unnamed,Georgia,Category 1 hurricane,9-Oct,1894
,,,,
Unnamed,Georgia,Category 2 hurricane,29-Sep,1896
Unnamed,,Category 1 hurricane,31-Aug,1898
Unnamed,Georgia,Category 4 hurricane,2-Oct,1898
Unnamed,,Category 1 hurricane,28-Aug,1911
Unnamed,Georgia,Category 1 hurricane,18-Sep,1928
"""Labor Day""",Georgia,Category 1 hurricane,5-Sep,1935
,,,,
Unnamed,Georgia,Category 1 hurricane,11-Aug,1940
Unnamed,Georgia,Category 2 hurricane,15-Oct,1947
Unnamed,Georgia,Category 1 hurricane,27-Aug,1949
David,Georgia,Category 2 hurricane,4-Sep,1979
Kate,Georgia,Category 1 hurricane,22-Nov,1985
,,,,
Matthew,Georgia,Category 1 hurricane,8-Oct,2016
,,,,
Michael,Georgia,Category 2 hurricane,10-Oct,2018
,,,,
Unnamed,Louisiana,Category 2 hurricane,25-Aug,1852
Unnamed,Louisiana,Category 3 hurricane,16-Sep,1855
Unnamed,Louisiana,Category 4 hurricane,11-Aug,1856
Unnamed,Louisiana,Category 3 hurricane,11-Aug,1860
Unnamed,Louisiana,Category 2 hurricane,15-Sep,1860
Unnamed,Louisiana,Category 2 hurricane,2-Oct,1860
Unnamed,Louisiana,Category 2 hurricane,13-Sep,1865
Unnamed,Louisiana,Category 2 hurricane,4-Oct,1867
Unnamed,Louisiana,Category 1 hurricane,5-Sep,1869
Unnamed,Louisiana,Category 1 hurricane,18-Sep,1877
Unnamed,Louisiana,Category 2 hurricane,23-Aug,1879
Unnamed,Louisiana,Category 3 hurricane,1-Sep,1879
Unnamed,Louisiana,Category 2 hurricane,14-Jun,1886
Unnamed,Louisiana,Category 3 hurricane,12-Oct,1886
Unnamed,Louisiana,Category 1 hurricane,19-Oct,1887
Unnamed,Louisiana,Category 2 hurricane,19-Aug,1888
Unnamed,Louisiana,Category 1 hurricane,23-Sep,1889
Unnamed,Louisiana,Category 2 hurricane,7-Sep,1893
Unnamed,Louisiana,Category 4 hurricane,2-Oct,1893
Unnamed,Louisiana,Category 1 hurricane,12-Sep,1897
Unnamed,Louisiana,Category 1 hurricane,14-Aug,1901
Unnamed,Louisiana,Category 1 hurricane,27-Sep,1906
Unnamed,Louisiana,Category 3 hurricane,20-Sep,1909
Unnamed,Louisiana,Category 1 hurricane,17-Aug,1915
Unnamed,Louisiana,Category 3 hurricane,29-Sep,1915
Unnamed,Louisiana,Category 2 hurricane,29-Sep,1917
Unnamed,Louisiana,Category 3 hurricane,7-Aug,1918
Unnamed,Louisiana,Category 2 hurricane,21-Sep,1920
Unnamed,Louisiana,Category 1 hurricane,16-Oct,1923
Unnamed,Louisiana,Category 3 hurricane,26-Aug,1926
Unnamed,Louisiana,Category 2 hurricane,16-Jun,1934
Unnamed,Louisiana,Category 1 hurricane,15-Aug,1938
Unnamed,Louisiana,Category 2 hurricane,7-Aug,1940
Unnamed,Louisiana,Category 2 hurricane,19-Sep,1947
Unnamed,Louisiana,Category 1 hurricane,4-Sep,1948
Flossy,Louisiana,Category 2 hurricane,24-Sep,1956
Audrey,Louisiana,Category 3 hurricane,27-Jun,1957
Ethel,Louisiana,Category 1 hurricane,15-Sep,1964
Hilda,Louisiana,Category 2 hurricane,3-Oct,1964
Betsy,Louisiana,Category 4 hurricane,10-Sep,1965
Camille,Louisiana,Category 5 hurricane,17-Aug,1969
Edith,Louisiana,Category 2 hurricane,16-Sep,1971
Carmen,Louisiana,Category 3 hurricane,8-Sep,1974
Babe,Louisiana,Category 1 hurricane,5-Sep,1977
Bob,Louisiana,Category 1 hurricane,11-Sep,1979
Danny,Louisiana,Category 1 hurricane,15-Aug,1985
Juan,Louisiana,Category 1 hurricane,28-Oct,1985
Florence,Louisiana,Category 1 hurricane,10-Sep,1988
Andrew,Louisiana,Category 3 hurricane,26-Aug,1992
Danny,Louisiana,Category 1 hurricane,18-Jul,1997
Lili,Louisiana,Category 1 hurricane,3-Oct,2002
Cindy,Louisiana,Category 1 hurricane,6-Jul,2005
Katrina,Louisiana,Category 3 hurricane,29-Aug,2005
Rita,Louisiana,Category 3 hurricane,24-Sep,2005
Humberto,Louisiana,Category 1 hurricane,13-Sep,2007
Gustav,Louisiana,Category 2 hurricane,1-Sep,2008
Isaac,Louisiana,Category 1 hurricane,28-Aug,2012
Nate,Louisiana,Category 1 hurricane,7-Oct,2017
Barry,Louisiana,Category 1 hurricane,13-Jul,2019
Unnamed,Maine,Category 2 hurricane,4-Oct,1869
Gerda,Maine,Category 1 hurricane,10-Sep,1969
Gloria,Maine,Category 1 hurricane,27-Sep,1985
,,,,
Unnamed,Massachusetts,Category 1 hurricane,16-Sep,1858
,,,,
Unnamed,Massachusetts,Category 3 hurricane,8-Sep,1869
,,,,
Unnamed,Massachusetts,Category 1 hurricane,4-Oct,1869
,,Category 1 hurricane,19-Aug,1879
Unnamed,Massachusetts,Category 1 hurricane,10-Sep,1896
,,Category 1 hurricane,26-Aug,1924
Unnamed,Massachusetts,Category 2 hurricane,21-Sep,1938
,,,,
Unnamed,Massachusetts,Category 1 hurricane,15-Sep,1944
,,,,
Carol,Massachusetts,Category 2 hurricane,31-Aug,1954
,,,,
Edna,Massachusetts,Category 2 hurricane,11-Sep,1954
Donna,Massachusetts,Category 1 hurricane,12-Sep,1960
,,,,
Bob,Massachusetts,Category 2 hurricane,19-Aug,1991
Unnamed,Mississippi,Category 3 hurricane,26-Aug,1852
Unnamed,Mississippi,Category 3 hurricane,16-Aug,1855
Unnamed,Mississippi,Category 3 hurricane,12-Aug,1860
Unnamed,Mississippi,Category 2 hurricane,15-Sep,1860
Unnamed,Mississippi,Category 1 hurricane,20-Aug,1888
Unnamed,Mississippi,Category 2 hurricane,2-Oct,1893
